OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,Shipvia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10248,VINET,5,04/07/1996,01/08/1996,16/07/1996,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10249,TOMSP,6,05/07/1996,16/08/1996,10/07/1996,1,11.61,Toms Spezialitהten,Luisenstr. 48,Mnster,NULL,44087,Germany
10250,HANAR,4,08/07/1996,05/08/1996,12/07/1996,2,65.83,Hanari Carnes,"Rua do Paחo, 67",Rio de Janeiro,RJ,05454-876,Brazil
10251,VICTE,3,08/07/1996,05/08/1996,15/07/1996,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10252,SUPRD,4,09/07/1996,06/08/1996,11/07/1996,2,51.3,Suprךmes dיlices,"Boulevard Tirou, 255",Charleroi,NULL,B-6000,Belgium
10253,HANAR,3,10/07/1996,24/07/1996,16/07/1996,2,58.17,Hanari Carnes,"Rua do Paחo, 67",Rio de Janeiro,RJ,05454-876,Brazil
10254,CHOPS,5,11/07/1996,08/08/1996,23/07/1996,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,NULL,3012,Switzerland
10255,RICSU,9,12/07/1996,09/08/1996,15/07/1996,3,148.33,Richter Supermarkt,Starenweg 5,Genטve,NULL,1204,Switzerland
10256,WELLI,3,15/07/1996,12/08/1996,17/07/1996,2,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil
10257,HILAA,4,16/07/1996,13/08/1996,22/07/1996,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristףbal,Tבchira,5022,Venezuela
10258,ERNSH,1,17/07/1996,14/08/1996,23/07/1996,1,140.51,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10259,CENTC,4,18/07/1996,15/08/1996,25/07/1996,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,Mיxico D.F.,NULL,5022,Mexico
10260,OTTIK,4,19/07/1996,16/08/1996,29/07/1996,1,55.09,Ottilies Kהseladen,Mehrheimerstr. 369,Kצln,NULL,50739,Germany
10261,QUEDE,4,19/07/1996,16/08/1996,30/07/1996,2,3.05,Que Delםcia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10262,RATTC,8,22/07/1996,19/08/1996,25/07/1996,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10263,ERNSH,9,23/07/1996,20/08/1996,31/07/1996,3,146.06,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10264,FOLKO,6,24/07/1996,21/08/1996,23/08/1996,3,3.67,Folk och fה HB,ֵkergatan 24,Brהcke,NULL,S-844 67,Sweden
10265,BLONP,2,25/07/1996,22/08/1996,12/08/1996,1,55.28,Blondel pטre et fils,"24, place Klיber",Strasbourg,NULL,67000,France
10266,WARTH,3,26/07/1996,06/09/1996,31/07/1996,3,25.73,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10267,FRANK,4,29/07/1996,26/08/1996,06/08/1996,1,208.58,Frankenversand,Berliner Platz 43,Mnchen,NULL,80805,Germany
10268,GROSR,8,30/07/1996,27/08/1996,02/08/1996,3,66.29,GROSELLA-Restaurante,5× Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10269,WHITC,5,31/07/1996,14/08/1996,09/08/1996,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10270,WARTH,1,01/08/1996,29/08/1996,02/08/1996,1,136.54,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10271,SPLIR,6,01/08/1996,29/08/1996,30/08/1996,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10272,RATTC,6,02/08/1996,30/08/1996,06/08/1996,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10273,QUICK,3,05/08/1996,02/09/1996,12/08/1996,3,76.07,QUICK-Stop,Taucherstrae 10,Cunewalde,NULL,1307,Germany
10274,VINET,6,06/08/1996,03/09/1996,16/08/1996,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10275,MAGAA,1,07/08/1996,04/09/1996,09/08/1996,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
10276,TORTU,8,08/08/1996,22/08/1996,14/08/1996,3,13.84,Tortuga Restaurante,Avda. Azteca 123,Mיxico D.F.,NULL,5033,Mexico
