Country,Revenue,GrossProfit,Orders,Customers,GrossMargin
Argentina,8119.1,3963.66,16,3,0.4881895776625488
Austria,128003.8385,53011.2935,40,2,0.41413831117259814
Belgium,33824.855,14650.365,19,2,0.43312425138260013
Brazil,106925.7765,45058.4115,83,9,0.421398964542474
Canada,50196.29,19246.215,30,3,0.38341907340163983
Denmark,32661.0225,13141.4875,18,2,0.40235995367260774
Finland,18810.0525,7995.7275,22,2,0.42507736222426806
France,81358.3225,34553.7425,77,10,0.424710606588527
Germany,230284.6335,101469.2985,122,11,0.4406255726133807
Ireland,49979.905,19780.95,19,1,0.39577806320360154
Italy,15770.155,6953.2,28,3,0.4409087925895465
Mexico,23582.0775,10801.2225,28,5,0.4580267578206373
Norway,5735.150000000001,2734.975,6,1,0.47687941902129843
Poland,3531.95,1708.6,7,1,0.48375543255142345
Portugal,11472.3625,4465.912499999999,13,2,0.389275748565302
Spain,17983.2,7835.46,23,4,0.43570999599626314
Sweden,54495.14,23578.29,37,2,0.43266775716146433
Switzerland,31692.659,14419.384,18,2,0.45497551972524614
UK,58971.31,26538.735,56,7,0.4500279033991275
USA,245584.6105,105215.4205,122,13,0.42842839494618895
Venezuela,56810.629,23987.034,46,4,0.4222279249891776
