CustomerID,Revenue,COGS,GrossProfit,Orders,GrossMargin,AverageOrderValue,ProfitPerOrder,RevenueRank,ProfitRank,Segment
ALFKI,4273.0,2298.1,1974.9,6,0.4621811373742102,712.1666666666666,329.15000000000003,57.0,57.0,Low Revenue / Low Profit
ANATR,1402.95,712.575,690.375,4,0.49208810007484227,350.7375,172.59375,84.0,81.0,Low Revenue / Low Profit
ANTON,7023.9775,3808.075,3215.9025,7,0.45784635557275066,1003.4253571428571,459.4146428571429,46.0,44.0,Low Revenue / High Profit
AROUT,13390.65,7132.25,6258.4,13,0.467370889389238,1030.05,481.4153846153846,31.0,29.0,High Revenue / High Profit
BERGS,24927.5775,14177.875,10749.7025,18,0.43123735148351255,1384.8654166666665,597.2056944444444,13.0,11.0,High Revenue / High Profit
BLAUS,3239.8,1619.9,1619.9,7,0.5,462.8285714285715,231.41428571428574,67.0,65.0,Low Revenue / Low Profit
BLONP,18534.08,11303.025,7231.055,11,0.3901491198915727,1684.9163636363637,657.3686363636364,21.0,23.0,High Revenue / High Profit
BOLID,4232.85,2771.65,1461.2,3,0.3452047674734517,1410.95,487.06666666666666,60.0,69.0,Low Revenue / Low Profit
BONAP,21963.2525,12680.0,9283.2525,17,0.4226720291086214,1291.9560294117646,546.0736764705882,17.0,15.0,High Revenue / High Profit
BOTTM,20801.6,12214.575,8587.025,14,0.412805986077994,1485.8285714285714,613.3589285714286,18.0,19.0,High Revenue / High Profit
BSBEV,6089.9,3319.275,2770.625,10,0.45495410433668865,608.99,277.0625,51.0,49.0,Low Revenue / Low Profit
CACTU,1814.8,907.4,907.4,6,0.5,302.46666666666664,151.23333333333332,76.0,76.0,Low Revenue / Low Profit
CENTC,100.8,63.0,37.8,1,0.375,100.8,37.8,89.0,89.0,Low Revenue / Low Profit
CHOPS,12348.88,6668.05,5680.83,8,0.46002795395209933,1543.61,710.10375,34.0,32.0,High Revenue / High Profit
COMMI,3810.75,2318.8,1491.9499999999998,5,0.39151085744276054,762.15,298.39,62.0,68.0,Low Revenue / Low Profit
CONSH,1719.1,958.25,760.85,3,0.44258623698446864,573.0333333333333,253.61666666666667,77.0,80.0,Low Revenue / Low Profit
DRACD,3763.21,1948.305,1814.905,6,0.4822757698879414,627.2016666666667,302.4841666666667,63.0,60.0,Low Revenue / Low Profit
DUMON,1615.8999999999999,841.55,774.3499999999999,4,0.4792066340738907,403.97499999999997,193.58749999999998,78.0,78.0,Low Revenue / Low Profit
EASTC,14761.035,8018.875,6742.16,8,0.45675387938582895,1845.129375,842.77,30.0,26.0,High Revenue / High Profit
ERNSH,104874.9785,60195.045,44679.9335,30,0.4260304425235234,3495.8326166666666,1489.3311166666667,2.0,2.0,High Revenue / High Profit
FAMIA,4107.55,2385.85,1721.7,7,0.4191549707246412,586.7928571428572,245.95714285714286,61.0,61.0,Low Revenue / Low Profit
FOLIG,11666.9,6131.85,5535.05,5,0.4744233686754837,2333.38,1107.01,35.0,34.0,High Revenue / High Profit
FOLKO,29567.5625,16738.975,12828.5875,19,0.43387369182021684,1556.1875,675.1888157894737,8.0,8.0,High Revenue / High Profit
FRANK,26656.5595,15897.215,10759.3445,15,0.40362840148219425,1777.1039666666666,717.2896333333333,11.0,10.0,High Revenue / High Profit
FRANR,3172.1600000000003,1586.0800000000002,1586.0800000000002,3,0.5,1057.3866666666668,528.6933333333334,68.0,66.0,Low Revenue / Low Profit
