Month,Revenue,COGS,GrossProfit,UnitsSold,Orders,GrossMargin,RevenueGrowth,ProfitGrowth
1996-07,27861.895,18889.925,8971.97,1462,22,0.32201578535846176,,
1996-08,25485.274999999998,16642.745,8842.529999999999,1322,25,0.3469662383474379,-0.08530001279525323,-0.014427154794320551
1996-09,26381.4,17282.8,9098.6,1124,23,0.34488692791133146,0.03516246146058877,0.02895890655728639
1996-10,37515.725,25764.345,11751.38,1738,26,0.3132387818708022,0.4220520897298854,0.29155914096674196
1996-11,45600.045,31081.995,14518.05,1735,25,0.3183779752848928,0.215491503896033,0.23543362566779402
1996-12,45239.63,31860.614999999998,13379.015,2200,31,0.29573661411466007,-0.007903829919466143,-0.07845647314894222
1997-01,61258.07,41700.235,19557.835,2401,33,0.319269526447699,0.3540798189551948,0.4618292153794581
1997-02,38483.635,25780.53,12703.105,2132,29,0.330091089368247,-0.37177852648638776,-0.3504851124881665
1997-03,38547.22,24996.295,13550.925,1770,30,0.3515409152722297,0.0016522607596709538,0.06674116288891563
1997-04,53032.9525,28393.77,24639.1825,1912,31,0.464601372137446,0.37579188589994295,0.8182657272474019
1997-05,53781.29,28411.85,25369.44,2164,32,0.47171497745777385,0.014110802147023538,0.029638057187976852
1997-06,36362.8025,19544.0,16818.802499999998,1635,30,0.46252767508774933,-0.32387634249754893,-0.33704478695627504
1997-07,51020.8575,27732.465,23288.3925,2054,33,0.45644847305829783,0.40310575621887224,0.38466412813873063
1997-08,47287.67,24990.845,22296.825,1861,33,0.471514561829754,-0.07316983059330195,-0.042577756279227996
1997-09,55629.2425,29866.510000000002,25762.7325,2343,37,0.463114925571744,0.1764005818007104,0.1554439925863884
1997-10,66749.226,35164.25,31584.976,2679,38,0.47318864791031434,0.19989456983887566,0.22599479694166758
1997-11,43533.809,22956.68,20577.129,1856,34,0.47267008039659475,-0.34780054228643786,-0.3485152877747951
1997-12,71398.4285,38738.13,32660.2985,2682,48,0.45743721796341785,0.6400684925134852,0.5872135758103085
1998-01,94222.1105,50427.36,43794.7505,3466,55,0.4648033276647948,0.3196664475605371,0.3409170311165406
1998-02,99415.2875,52280.975,47134.3125,3115,54,0.4741153366377379,0.05511633068333799,0.07625484702784169
1998-03,104854.155,54912.725,49941.43,4065,73,0.47629423936514487,0.05470856280529279,0.059555711139310574
1998-04,123798.6825,67315.28,56483.4025,4680,74,0.45625204856279467,0.18067502904391342,0.1309928950772934
1998-05,18333.6305,9949.33,8384.3005,921,14,0.45731806910802525,-0.8519077091147558,-0.8515616954909896
