OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,Shipvia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,OrderYear,OrderMonth,OrderMonthName,OrderMonthDate,ProductID,UnitPrice_order,Quantity,Discount,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice_product,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,BuyingCost,SellingPrice,Revenue,COGS,GrossProfit,GrossMargin,Month,DiscountBand
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,1996,7,July,1996-07,11,14.0,12,0.0,Queso Cabrales,5,4,1 kg pkg.,10.5,22,30,30,0,Dairy Products,10.5,14.0,168.0,126.0,42.0,0.25,1996-07,0%
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,1996,7,July,1996-07,42,9.8,10,0.0,Singaporean Hokkien Fried Mee,20,5,32 - 1 kg pkgs.,7.0,26,0,0,1,Grains/Cereals,7.0,9.8,98.0,70.0,28.0,0.2857142857142857,1996-07,0%
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,1996,7,July,1996-07,72,34.8,5,0.0,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,17.4,14,0,0,0,Dairy Products,17.4,34.8,174.0,87.0,87.0,0.5,1996-07,0%
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitהten,Luisenstr. 48,Mnster,,44087,Germany,1996,7,July,1996-07,14,18.6,9,0.0,Tofu,6,7,40 - 100 g pkgs.,11.625,35,0,0,0,Produce,11.625,18.6,167.4,104.625,62.775000000000006,0.375,1996-07,0%
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitהten,Luisenstr. 48,Mnster,,44087,Germany,1996,7,July,1996-07,51,42.4,40,0.0,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,26.5,20,0,10,0,Produce,26.5,42.4,1696.0,1060.0,636.0,0.375,1996-07,0%
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paחo, 67",Rio de Janeiro,RJ,05454-876,Brazil,1996,7,July,1996-07,41,7.7,10,0.0,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,4.825,85,0,10,0,Seafood,4.825,7.7,77.0,48.25,28.75,0.37337662337662336,1996-07,0%
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paחo, 67",Rio de Janeiro,RJ,05454-876,Brazil,1996,7,July,1996-07,51,42.4,35,0.15,Manjimup Dried Apples,24,7,50 - 300 g pkgs.,26.5,20,0,10,0,Produce,26.5,42.4,1261.3999999999999,927.5,333.89999999999986,0.2647058823529411,1996-07,10-20%
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paחo, 67",Rio de Janeiro,RJ,05454-876,Brazil,1996,7,July,1996-07,65,16.8,15,0.15,Louisiana Fiery Hot Pepper Sauce,2,2,32 - 8 oz bottles,10.525,76,0,0,0,Condiments,10.525,16.8,214.2,157.875,56.32499999999999,0.2629551820728291,1996-07,10-20%
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,1996,7,July,1996-07,22,16.8,6,0.05,Gustaf's Knהckebrצd,9,5,24 - 500 g pkgs.,10.5,104,0,25,0,Grains/Cereals,10.5,16.8,95.76,63.0,32.760000000000005,0.34210526315789475,1996-07,0-5%
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,1996,7,July,1996-07,57,15.6,15,0.05,Ravioli Angelo,26,5,24 - 250 g pkgs.,9.75,36,0,20,0,Grains/Cereals,9.75,15.6,222.29999999999998,146.25,76.04999999999998,0.3421052631578947,1996-07,0-5%
