CustomerID,LastPurchaseDate,Recency,Frequency,Monetary,GrossProfit,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,RFM_Segment
ALFKI,1998-04-09,28,6,4273.0,1974.9,3,2,2,322,7,Potential Loyalists
ANATR,1998-03-04,64,4,1402.95,690.375,2,1,1,211,4,At Risk
ANTON,1998-01-28,99,7,7023.9775,3215.9025,1,2,3,123,6,At Risk
AROUT,1998-04-10,27,13,13390.65,6258.4,3,4,4,344,11,Loyal Customers
BERGS,1998-03-04,64,18,24927.5775,10749.7025,2,5,5,255,12,Loyal Customers
BLAUS,1998-04-29,8,7,3239.8,1619.9,5,2,2,522,9,Potential Loyalists
BLONP,1998-01-12,115,11,18534.08,7231.055,1,4,4,144,9,Potential Loyalists
BOLID,1998-03-24,44,3,4232.85,1461.2,2,1,2,212,5,At Risk
BONAP,1998-05-06,1,17,21963.2525,9283.2525,5,5,5,555,15,Champions
BOTTM,1998-04-24,13,14,20801.6,8587.025,4,5,5,455,14,Champions
BSBEV,1998-04-14,23,10,6089.9,2770.625,3,3,3,333,9,Potential Loyalists
CACTU,1998-04-28,9,6,1814.8,907.4,4,2,1,421,7,Potential Loyalists
CENTC,1996-07-18,658,1,100.8,37.8,1,1,1,111,3,Lost / Low Value
CHOPS,1998-04-22,15,8,12348.88,5680.83,4,3,4,434,11,Loyal Customers
COMMI,1998-04-22,15,5,3810.75,1491.9499999999998,4,1,2,412,7,Potential Loyalists
CONSH,1998-01-23,104,3,1719.1,760.85,1,1,1,111,3,Lost / Low Value
DRACD,1998-05-04,3,6,3763.21,1814.905,5,2,2,522,9,Potential Loyalists
DUMON,1998-02-16,80,4,1615.8999999999999,774.3499999999999,1,1,1,111,3,Lost / Low Value
EASTC,1998-04-28,9,8,14761.035,6742.16,4,3,4,434,11,Loyal Customers
ERNSH,1998-05-05,2,30,104874.9785,44679.9335,5,5,5,555,15,Champions
FAMIA,1997-10-31,188,7,4107.55,1721.7,1,3,2,132,6,At Risk
FOLIG,1997-12-22,136,5,11666.9,5535.05,1,1,4,114,6,At Risk
FOLKO,1998-04-27,10,19,29567.5625,12828.5875,4,5,5,455,14,Champions
FRANK,1998-04-09,28,15,26656.5595,10759.3445,3,5,5,355,13,Champions
FRANR,1998-03-24,44,3,3172.1600000000003,1586.0800000000002,2,1,2,212,5,At Risk
FRANS,1998-04-30,7,6,1545.7,766.52,5,2,1,521,8,Potential Loyalists
FURIB,1998-03-19,49,8,6427.4225,2414.9225,2,3,3,233,8,Potential Loyalists
GALED,1998-03-05,63,5,836.7,358.95000000000005,2,2,1,221,5,At Risk
GODOS,1998-04-21,16,10,11446.36,5374.81,4,3,4,434,11,Loyal Customers
GOURL,1998-04-24,13,9,8414.135,3935.52,4,3,3,433,10,Loyal Customers
GREAL,1998-04-30,7,11,18507.45,8651.885,5,4,4,544,13,Champions
GROSR,1997-12-18,140,2,1488.7,606.4,1,1,1,111,3,Lost / Low Value
HANAR,1998-04-27,10,14,32841.37,15383.07,4,5,5,455,14,Champions
HILAA,1998-04-28,9,18,22768.764,9952.074,4,5,5,455,14,Champions
HUNGC,1997-09-08,241,5,3063.2,1420.675,1,2,2,122,5,At Risk
HUNGO,1998-04-30,7,19,49979.905,19780.95,5,5,5,555,15,Champions
ISLAT,1998-03-06,62,10,6146.3,2931.45,2,3,3,233,8,Potential Loyalists
KOENE,1998-04-16,21,14,30908.384000000002,14457.074,3,5,5,355,13,Champions
LACOR,1998-03-24,44,4,1992.05,996.025,2,1,1,211,4,At Risk
LAMAI,1998-04-27,10,14,9328.2,3571.175,4,5,3,453,12,Loyal Customers
LAUGB,1998-01-01,126,3,522.5,226.25,1,1,1,111,3,Lost / Low Value
LAZYK,1997-05-22,350,2,357.0,160.0,1,1,1,111,3,Lost / Low Value
LEHMS,1998-05-05,2,15,19261.41,8007.975,5,5,4,554,14,Champions
LETSS,1998-02-12,84,4,3076.4725,1331.4624999999999,1,1,2,112,4,At Risk
LILAS,1998-05-05,2,14,16076.6,6166.77,5,5,4,554,14,Champions
LINOD,1998-04-21,16,12,16476.565,7261.79,4,4,4,444,12,Loyal Customers
LONEP,1998-04-13,24,8,4258.6,2040.05,3,3,2,332,8,Potential Loyalists
MAGAA,1998-03-16,52,10,7176.215,3019.54,2,4,3,243,9,Potential Loyalists
MAISD,1998-04-07,30,7,9736.075,4520.785,3,3,3,333,9,Potential Loyalists
MEREP,1997-10-30,189,13,28872.190000000002,10432.94,1,4,5,145,10,Loyal Customers
MORGK,1998-03-12,56,5,5042.2,2369.7,2,2,2,222,6,At Risk
NORTS,1998-04-29,8,3,649.0,324.5,5,1,1,511,7,Potential Loyalists
OCEAN,1998-03-30,38,5,3460.2,1690.2,2,2,2,222,6,At Risk
OLDWO,1998-04-20,17,10,15177.4625,6157.8375,3,4,4,344,11,Loyal Customers
OTTIK,1998-04-14,23,10,12496.2,5549.349999999999,3,4,4,344,11,Loyal Customers
PERIC,1998-05-05,2,6,4242.2,1878.62,5,2,2,522,9,Potential Loyalists
PICCO,1998-04-27,10,10,23128.86,8331.36,4,4,5,445,13,Champions
PRINI,1998-04-08,29,5,5044.9400000000005,2050.99,3,2,2,322,7,Potential Loyalists
QUEDE,1998-03-31,37,9,6664.81,2770.045,2,3,3,233,8,Potential Loyalists
QUEEN,1998-05-04,3,13,25717.4975,8695.5475,5,4,5,545,14,Champions
QUICK,1998-04-14,23,28,110277.30500000001,49177.435,3,5,5,355,13,Champions
RANCH,1998-04-13,24,5,2844.1,1366.06,3,2,1,321,6,At Risk
RATTC,1998-05-06,1,18,51097.8005,21816.5905,5,5,5,555,15,Champions
REGGC,1998-04-30,7,12,7048.24,3167.14,5,4,3,543,12,Loyal Customers
RICAR,1998-04-29,8,11,12450.8,5526.675,5,4,4,544,13,Champions
RICSU,1998-05-06,1,10,19343.779000000002,8738.554,5,4,4,544,13,Champions
ROMEY,1998-04-09,28,5,1467.29,640.5,3,2,1,321,6,At Risk
SANTG,1998-04-10,27,6,5735.150000000001,2734.975,3,2,3,323,8,Potential Loyalists
SAVEA,1998-05-01,6,31,104361.95,44002.525,5,5,5,555,15,Champions
SEVES,1998-02-04,92,9,16215.324999999999,6750.75,1,3,4,134,8,Potential Loyalists
SIMOB,1998-05-06,1,7,16817.0975,6285.9725,5,3,4,534,12,Loyal Customers
SPECD,1998-04-22,15,4,2423.35,1211.675,4,1,1,411,6,At Risk
SPLIR,1998-03-25,43,9,11441.63,4082.37,2,3,3,233,8,Potential Loyalists
SUPRD,1998-04-21,16,12,24088.78,10129.58,4,4,5,445,13,Champions
THEBI,1998-04-01,36,4,3361.0,1638.0,2,1,2,212,5,At Risk
THECR,1998-04-06,31,3,1947.24,973.62,2,1,1,211,4,At Risk
TOMSP,1998-03-23,45,6,4778.14,1962.065,2,2,2,222,6,At Risk
TORTU,1998-05-04,3,10,10812.15,4978.525,5,4,3,543,12,Loyal Customers
TRADH,1998-01-19,108,6,6850.664,3008.354,1,2,3,123,6,At Risk
TRAIH,1998-01-08,119,3,1571.2,785.6,1,1,1,111,3,Lost / Low Value
VAFFE,1998-04-02,35,11,15843.925,6855.515,2,4,4,244,10,Loyal Customers
VICTE,1998-01-23,104,10,9182.43,3770.7799999999997,1,4,3,143,8,Potential Loyalists
VINET,1997-11-12,176,5,1480.0,594.3,1,2,1,121,4,At Risk
WANDK,1998-04-23,14,10,9588.425,3776.65,4,4,3,443,11,Loyal Customers
WARTH,1998-04-15,22,15,15648.7025,6415.0525,3,5,4,354,12,Loyal Customers
WELLI,1998-03-09,59,9,6068.2,2525.55,2,3,3,233,8,Potential Loyalists
WHITC,1998-05-01,6,14,27363.605,12154.805,5,5,5,555,15,Champions
WILMK,1998-04-07,30,7,3161.35,1580.675,3,3,2,332,8,Potential Loyalists
WOLZA,1998-04-23,14,7,3531.95,1708.6,4,3,2,432,9,Potential Loyalists
