ProductID,ProductName,UnitsSold,Revenue,GrossProfit,GrossMargin,VolumeRank,MarginRank,Segment
1,Chai,828,12788.1,5336.1,0.41727074389471464,20.0,56.0,High Volume / Low Margin
2,Chang,1057,16355.96,6314.46,0.38606477394173133,10.5,74.0,High Volume / Low Margin
3,Aniseed Syrup,328,3044.0,1404.0,0.4612352168199737,63.0,8.0,Low Volume / High Margin
4,Chef Anton's Cajun Seasoning,453,8567.9,3584.9,0.4184105790216973,55.0,52.0,Low Volume / Low Margin
5,Chef Anton's Gumbo Mix,298,5347.2,2166.05,0.4050811639736685,67.0,67.0,Low Volume / Low Margin
6,Grandma's Boysenberry Spread,301,7137.0,3374.5,0.47281771052262855,66.0,3.0,Low Volume / High Margin
7,Uncle Bob's Organic Dried Pears,763,22044.3,10599.3,0.48081817068357807,27.0,2.0,High Volume / High Margin
8,Northwoods Cranberry Sauce,372,12772.0,5332.0,0.4174757281553398,59.0,55.0,Low Volume / Low Margin
9,Mishi Kobe Niku,95,7226.5,2619.0,0.3624161073825503,77.0,76.0,Low Volume / Low Margin
10,Ikura,742,20867.34,9366.34,0.44885165047389847,33.0,14.0,High Volume / High Margin
11,Queso Cabrales,706,12901.77,5488.77,0.42542767387730523,38.0,45.0,High Volume / Low Margin
12,Queso Manchego La Pastora,344,12257.66,5721.66,0.466782403819326,62.0,6.0,Low Volume / High Margin
13,Konbu,891,4960.44,2287.44,0.4611365120836055,17.0,9.0,High Volume / High Margin
14,Tofu,404,7991.49,3294.9900000000002,0.41231234725939725,58.0,62.0,Low Volume / Low Margin
15,Genen Shouyu,122,1784.825,839.325,0.4702561875814156,76.0,4.0,Low Volume / High Margin
16,Pavlova,1158,17215.7755,7112.2255,0.41312257469900204,5.0,61.0,High Volume / Low Margin
17,Alice Mutton,978,32698.38,13627.380000000001,0.4167600963717469,15.0,57.0,High Volume / Low Margin
18,Carnarvon Tigers,539,29171.875,12328.125,0.4226031065881093,48.0,47.0,Low Volume / Low Margin
19,Teatime Chocolate Biscuits,723,5862.62,2536.8199999999997,0.4327109722274341,35.0,36.0,High Volume / High Margin
20,Sir Rodney's Marmalade,313,22563.36,9886.86,0.43818207926479036,65.0,25.0,Low Volume / High Margin
21,Sir Rodney's Scones,1016,9104.0,4024.0,0.44200351493848855,12.0,19.0,High Volume / High Margin
22,Gustaf's Knהckebrצd,348,7122.360000000001,3468.36,0.48696780280693475,61.0,1.0,Low Volume / High Margin
23,Tunnbrצd,580,4601.7,1991.7,0.43281830627811463,45.5,35.0,Low Volume / High Margin
24,Guaranב Fantבstica,1125,4504.365,1973.115,0.4380450962566311,7.0,26.0,High Volume / High Margin
25,NuNuCa Nu-Nougat-Creme,318,3704.3999999999996,1478.4,0.399092970521542,64.0,70.0,Low Volume / Low Margin
26,Gumbהr Gummibהrchen,753,19849.1445,8091.0495,0.40762711460939793,30.0,65.0,High Volume / Low Margin
27,Schoggi Schokolade,365,15099.875,7088.125,0.4694161375508075,60.0,5.0,Low Volume / High Margin
28,Rצssle Sauerkraut,640,25696.64,11104.64,0.4321436576922119,40.0,37.0,Low Volume / High Margin
29,Thringer Rostbratwurst,746,80368.672,34195.002,0.4254767579088528,31.0,44.0,High Volume / Low Margin
30,Nord-Ost Matjeshering,612,13424.1975,5501.8575,0.4098462869009488,42.0,64.0,Low Volume / Low Margin
31,Gorgonzola Telino,1397,14920.875,6189.625,0.4148298943594126,3.0,59.0,High Volume / Low Margin
32,Mascarpone Fabioli,297,8404.16,3652.16,0.4345657388721776,68.5,32.0,Low Volume / High Margin
33,Geitost,755,1648.125,704.375,0.4273795980280622,28.5,41.0,High Volume / Low Margin
34,Sasquatch Ale,506,6350.4,2808.4,0.4422398589065256,52.0,18.0,Low Volume / High Margin
35,Steeleye Stout,883,13644.0,5697.0,0.4175461741424802,19.0,54.0,High Volume / Low Margin
36,Inlagd Sill,805,13458.46,5810.96,0.4317700539289042,23.0,38.0,High Volume / High Margin
37,Gravad lax,125,2688.3999999999996,1063.4,0.395551257253385,75.0,72.0,Low Volume / Low Margin
38,Cפte de Blaye,623,141396.735,59316.485,0.4195039227744545,41.0,49.0,Low Volume / Low Margin
39,Chartreuse verte,793,12294.54,5157.54,0.41949841148997846,25.0,50.0,High Volume / Low Margin
40,Boston Crab Meat,1103,17910.629999999997,7763.03,0.4334314315018512,8.0,33.0,High Volume / High Margin
